Logging to ./train/ppo1
---------------------------------
| rollout/           |          |
|    value_loss           | 1.34e+04   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.53       |
|    ep_rew_mean          | -101       |
| time/                   |            |
|    fps                  | 189        |
|    iterations           | 47         |
|    time_elapsed         | 1014       |
|    total_timesteps      | 192512     |
| train/                  |            |
|    approx_kl            | 0.02234637 |
|    clip_fraction        | 0.112      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.43      |
|    explained_variance   | 0.862      |
|    learning_rate        | 1e-05      |
|    loss                 | 1.37e+03   |
|    n_updates            | 4600       |
|    policy_gradient_loss | -0.00245   |
|    value_loss           | 3.85e+03   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.61       |
|    ep_rew_mean          | -102       |
| time/                   |            |
|    fps                  | 189        |
|    iterations           | 48         |
|    time_elapsed         | 1036       |
|    total_timesteps      | 196608     |
| train/                  |            |
|    approx_kl            | 0.04462847 |
|    clip_fraction        | 0.294      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.73      |
|    explained_variance   | 0.747      |
|    learning_rate        | 1e-05      |
|    loss                 | 925        |
|    n_updates            | 4700       |
|    policy_gradient_loss | 0.000494   |
|    value_loss           | 2.38e+03   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.4        |
|    ep_rew_mean          | -98.7      |
| time/                   |            |
|    fps                  | 189        |
|    iterations           | 49         |
|    time_elapsed         | 1059       |
|    total_timesteps      | 200704     |
| train/                  |            |
|    approx_kl            | 0.06446276 |
|    clip_fraction        | 0.454      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.98      |
|    explained_variance   | 0.826      |
|    learning_rate        | 1e-05      |
|    loss                 | 292        |
|    n_updates            | 4800       |
|    policy_gradient_loss | -0.0133    |
|    value_loss           | 2.14e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.78        |
|    ep_rew_mean          | -91.1       |
| time/                   |             |
|    fps                  | 189         |
|    iterations           | 50          |
|    time_elapsed         | 1081        |
|    total_timesteps      | 204800      |
| train/                  |             |
|    approx_kl            | 0.036433183 |
|    clip_fraction        | 0.609       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.17       |
|    explained_variance   | 0.694       |
|    learning_rate        | 1e-05       |
|    loss                 | 330         |
|    n_updates            | 4900        |
|    policy_gradient_loss | -0.0128     |
|    value_loss           | 847         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.94        |
|    ep_rew_mean          | -89         |
| time/                   |             |
|    fps                  | 189         |
|    iterations           | 51          |
|    time_elapsed         | 1103        |
|    total_timesteps      | 208896      |
| train/                  |             |
|    approx_kl            | 0.027800096 |
|    clip_fraction        | 0.587       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.26       |
|    explained_variance   | 0.649       |
|    learning_rate        | 1e-05       |
|    loss                 | 862         |
|    n_updates            | 5000        |
|    policy_gradient_loss | -0.0227     |
|    value_loss           | 1.51e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.8         |
|    ep_rew_mean          | -89.2       |
| time/                   |             |
|    fps                  | 189         |
|    iterations           | 52          |
|    time_elapsed         | 1125        |
|    total_timesteps      | 212992      |
| train/                  |             |
|    approx_kl            | 0.021469548 |
|    clip_fraction        | 0.405       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.27       |
|    explained_variance   | 0.0445      |
|    learning_rate        | 1e-05       |
|    loss                 | 431         |
|    n_updates            | 5100        |
|    policy_gradient_loss | -0.0164     |
|    value_loss           | 1.07e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.26        |
|    ep_rew_mean          | -88.6       |
| time/                   |             |
|    fps                  | 189         |
|    iterations           | 53          |
|    time_elapsed         | 1147        |
|    total_timesteps      | 217088      |
| train/                  |             |
|    approx_kl            | 0.022314526 |
|    clip_fraction        | 0.379       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.34       |
|    explained_variance   | 0.0839      |
|    learning_rate        | 1e-05       |
|    loss                 | 909         |
|    n_updates            | 5200        |
|    policy_gradient_loss | -0.0141     |
|    value_loss           | 2.09e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 8.27       |
|    ep_rew_mean          | -91        |
| time/                   |            |
|    fps                  | 189        |
|    iterations           | 54         |
|    time_elapsed         | 1168       |
|    total_timesteps      | 221184     |
| train/                  |            |
|    approx_kl            | 0.03025977 |
|    clip_fraction        | 0.269      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.3       |
|    explained_variance   | 0.385      |
|    learning_rate        | 1e-05      |
|    loss                 | 1.21e+03   |
|    n_updates            | 5300       |
|    policy_gradient_loss | -0.00717   |
|    value_loss           | 2.69e+03   |
----------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 31          |
|    mean_reward          | -1.26e+03   |
| time/                   |             |
|    total_timesteps      | 225000      |
| train/                  |             |
|    approx_kl            | 0.044222005 |
|    clip_fraction        | 0.174       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.28       |
|    explained_variance   | 0.313       |
|    learning_rate        | 1e-05       |
|    loss                 | 967         |
|    n_updates            | 5400        |
|    policy_gradient_loss | -0.00735    |
|    value_loss           | 3.47e+03    |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 10.2     |
|    ep_rew_mean     | -180     |
| time/              |          |
|    fps             | 188      |
|    iterations      | 55       |
|    time_elapsed    | 1192     |
|    total_timesteps | 225280   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 11.2        |
|    ep_rew_mean          | -254        |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 56          |
|    time_elapsed         | 1213        |
|    total_timesteps      | 229376      |
| train/                  |             |
|    approx_kl            | 0.059215505 |
|    clip_fraction        | 0.242       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.19       |
|    explained_variance   | 0.402       |
|    learning_rate        | 1e-05       |
|    loss                 | 2.47e+03    |
|    n_updates            | 5500        |
|    policy_gradient_loss | 0.0285      |
|    value_loss           | 1.1e+04     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 10.8        |
|    ep_rew_mean          | -277        |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 57          |
|    time_elapsed         | 1235        |
|    total_timesteps      | 233472      |
| train/                  |             |
|    approx_kl            | 0.051536955 |
|    clip_fraction        | 0.215       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.12       |
|    explained_variance   | 0.681       |
|    learning_rate        | 1e-05       |
|    loss                 | 6.17e+03    |
|    n_updates            | 5600        |
|    policy_gradient_loss | 0.0401      |
|    value_loss           | 1.81e+04    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 11          |
|    ep_rew_mean          | -359        |
| time/                   |             |
|    fps                  | 189         |
|    iterations           | 58          |
|    time_elapsed         | 1256        |
|    total_timesteps      | 237568      |
| train/                  |             |
|    approx_kl            | 0.035999175 |
|    clip_fraction        | 0.311       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.05       |
|    explained_variance   | 0.741       |
|    learning_rate        | 1e-05       |
|    loss                 | 9.32e+03    |
|    n_updates            | 5700        |
|    policy_gradient_loss | 0.0319      |
|    value_loss           | 2.57e+04    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5.31       |
|    ep_rew_mean          | -100       |
| time/                   |            |
|    fps                  | 189        |
|    iterations           | 59         |
|    time_elapsed         | 1278       |
|    total_timesteps      | 241664     |
| train/                  |            |
|    approx_kl            | 0.06257287 |
|    clip_fraction        | 0.276      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2         |
|    explained_variance   | 0.751      |
|    learning_rate        | 1e-05      |
|    loss                 | 1.13e+04   |
|    n_updates            | 5800       |
|    policy_gradient_loss | -0.00152   |
|    value_loss           | 2.97e+04   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 4.37       |
|    ep_rew_mean          | -109       |
| time/                   |            |
|    fps                  | 188        |
|    iterations           | 60         |
|    time_elapsed         | 1300       |
|    total_timesteps      | 245760     |
| train/                  |            |
|    approx_kl            | 0.06354165 |
|    clip_fraction        | 0.223      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.77      |
|    explained_variance   | 0.0219     |
|    learning_rate        | 1e-05      |
|    loss                 | 1.17e+04   |
|    n_updates            | 5900       |
|    policy_gradient_loss | 0.0118     |
|    value_loss           | 3.52e+04   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.58        |
|    ep_rew_mean          | -93.1       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 61          |
|    time_elapsed         | 1322        |
|    total_timesteps      | 249856      |
| train/                  |             |
|    approx_kl            | 0.016931754 |
|    clip_fraction        | 0.139       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.72       |
|    explained_variance   | 0.233       |
|    learning_rate        | 1e-05       |
|    loss                 | 1.11e+03    |
|    n_updates            | 6000        |
|    policy_gradient_loss | -0.00828    |
|    value_loss           | 3.99e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.11        |
|    ep_rew_mean          | -88.1       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 62          |
|    time_elapsed         | 1344        |
|    total_timesteps      | 253952      |
| train/                  |             |
|    approx_kl            | 0.008623667 |
|    clip_fraction        | 0.103       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.74       |
|    explained_variance   | -0.551      |
|    learning_rate        | 1e-05       |
|    loss                 | 509         |
|    n_updates            | 6100        |
|    policy_gradient_loss | -0.00752    |
|    value_loss           | 1.34e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.49        |
|    ep_rew_mean          | -93.1       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 63          |
|    time_elapsed         | 1365        |
|    total_timesteps      | 258048      |
| train/                  |             |
|    approx_kl            | 0.014304425 |
|    clip_fraction        | 0.215       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.76       |
|    explained_variance   | 0.0585      |
|    learning_rate        | 1e-05       |
|    loss                 | 652         |
|    n_updates            | 6200        |
|    policy_gradient_loss | -0.00977    |
|    value_loss           | 1.35e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.6         |
|    ep_rew_mean          | -89.7       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 64          |
|    time_elapsed         | 1387        |
|    total_timesteps      | 262144      |
| train/                  |             |
|    approx_kl            | 0.011047082 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.77       |
|    explained_variance   | 0.0826      |
|    learning_rate        | 1e-05       |
|    loss                 | 485         |
|    n_updates            | 6300        |
|    policy_gradient_loss | -0.00522    |
|    value_loss           | 1.14e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.78        |
|    ep_rew_mean          | -81.9       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 65          |
|    time_elapsed         | 1408        |
|    total_timesteps      | 266240      |
| train/                  |             |
|    approx_kl            | 0.017681293 |
|    clip_fraction        | 0.234       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.83       |
|    explained_variance   | 0.144       |
|    learning_rate        | 1e-05       |
|    loss                 | 492         |
|    n_updates            | 6400        |
|    policy_gradient_loss | -0.01       |
|    value_loss           | 1.24e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 8.7        |
|    ep_rew_mean          | -95        |
| time/                   |            |
|    fps                  | 188        |
|    iterations           | 66         |
|    time_elapsed         | 1430       |
|    total_timesteps      | 270336     |
| train/                  |            |
|    approx_kl            | 0.01151092 |
|    clip_fraction        | 0.105      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.84      |
|    explained_variance   | 0.116      |
|    learning_rate        | 1e-05      |
|    loss                 | 706        |
|    n_updates            | 6500       |
|    policy_gradient_loss | -0.00757   |
|    value_loss           | 1.52e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.32        |
|    ep_rew_mean          | -85.3       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 67          |
|    time_elapsed         | 1452        |
|    total_timesteps      | 274432      |
| train/                  |             |
|    approx_kl            | 0.009946297 |
|    clip_fraction        | 0.167       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.86       |
|    explained_variance   | 0.215       |
|    learning_rate        | 1e-05       |
|    loss                 | 439         |
|    n_updates            | 6600        |
|    policy_gradient_loss | -0.00702    |
|    value_loss           | 1.22e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 7.65       |
|    ep_rew_mean          | -81.8      |
| time/                   |            |
|    fps                  | 188        |
|    iterations           | 68         |
|    time_elapsed         | 1473       |
|    total_timesteps      | 278528     |
| train/                  |            |
|    approx_kl            | 0.04409256 |
|    clip_fraction        | 0.195      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.8       |
|    explained_variance   | 0.0843     |
|    learning_rate        | 1e-05      |
|    loss                 | 1.34e+03   |
|    n_updates            | 6700       |
|    policy_gradient_loss | -0.0078    |
|    value_loss           | 4.77e+03   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.39       |
|    ep_rew_mean          | -84.1      |
| time/                   |            |
|    fps                  | 188        |
|    iterations           | 69         |
|    time_elapsed         | 1495       |
|    total_timesteps      | 282624     |
| train/                  |            |
|    approx_kl            | 0.02126538 |
|    clip_fraction        | 0.118      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.83      |
|    explained_variance   | 0.0978     |
|    learning_rate        | 1e-05      |
|    loss                 | 989        |
|    n_updates            | 6800       |
|    policy_gradient_loss | -0.0114    |
|    value_loss           | 2.37e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.85        |
|    ep_rew_mean          | -85.4       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 70          |
|    time_elapsed         | 1517        |
|    total_timesteps      | 286720      |
| train/                  |             |
|    approx_kl            | 0.012863197 |
|    clip_fraction        | 0.0962      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.84       |
|    explained_variance   | 0.0173      |
|    learning_rate        | 1e-05       |
|    loss                 | 1.71e+03    |
|    n_updates            | 6900        |
|    policy_gradient_loss | -0.0114     |
|    value_loss           | 3.64e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.47        |
|    ep_rew_mean          | -91.6       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 71          |
|    time_elapsed         | 1539        |
|    total_timesteps      | 290816      |
| train/                  |             |
|    approx_kl            | 0.009370489 |
|    clip_fraction        | 0.112       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.86       |
|    explained_variance   | 0.118       |
|    learning_rate        | 1e-05       |
|    loss                 | 885         |
|    n_updates            | 7000        |
|    policy_gradient_loss | -0.00444    |
|    value_loss           | 1.97e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.52        |
|    ep_rew_mean          | -93         |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 72          |
|    time_elapsed         | 1560        |
|    total_timesteps      | 294912      |
| train/                  |             |
|    approx_kl            | 0.010287441 |
|    clip_fraction        | 0.0838      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.88       |
|    explained_variance   | -0.138      |
|    learning_rate        | 1e-05       |
|    loss                 | 1.38e+03    |
|    n_updates            | 7100        |
|    policy_gradient_loss | -0.00712    |
|    value_loss           | 3.66e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.73        |
|    ep_rew_mean          | -91.1       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 73          |
|    time_elapsed         | 1582        |
|    total_timesteps      | 299008      |
| train/                  |             |
|    approx_kl            | 0.011912523 |
|    clip_fraction        | 0.148       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.92       |
|    explained_variance   | -0.0126     |
|    learning_rate        | 1e-05       |
|    loss                 | 900         |
|    n_updates            | 7200        |
|    policy_gradient_loss | -0.00722    |
|    value_loss           | 2.08e+03    |
-----------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 16          |
|    mean_reward          | -164        |
| time/                   |             |
|    total_timesteps      | 300000      |
| train/                  |             |
|    approx_kl            | 0.046028282 |
|    clip_fraction        | 0.111       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.86       |
|    explained_variance   | -0.0327     |
|    learning_rate        | 1e-05       |
|    loss                 | 2.27e+03    |
|    n_updates            | 7300        |
|    policy_gradient_loss | -0.0105     |
|    value_loss           | 4.93e+03    |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 5.13     |
|    ep_rew_mean     | -94      |
| time/              |          |
|    fps             | 188      |
|    iterations      | 74       |
|    time_elapsed    | 1606     |
|    total_timesteps | 303104   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.33        |
|    ep_rew_mean          | -99.9       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 75          |
|    time_elapsed         | 1627        |
|    total_timesteps      | 307200      |
| train/                  |             |
|    approx_kl            | 0.011003163 |
|    clip_fraction        | 0.119       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.85       |
|    explained_variance   | 0.0709      |
|    learning_rate        | 1e-05       |
|    loss                 | 1.22e+03    |
|    n_updates            | 7400        |
|    policy_gradient_loss | -0.00409    |
|    value_loss           | 2.7e+03     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.36        |
|    ep_rew_mean          | -82.5       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 76          |
|    time_elapsed         | 1649        |
|    total_timesteps      | 311296      |
| train/                  |             |
|    approx_kl            | 0.010085177 |
|    clip_fraction        | 0.0968      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.85       |
|    explained_variance   | -0.0434     |
|    learning_rate        | 1e-05       |
|    loss                 | 3.6e+03     |
|    n_updates            | 7500        |
|    policy_gradient_loss | -0.0158     |
|    value_loss           | 7.41e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.16        |
|    ep_rew_mean          | -88.2       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 77          |
|    time_elapsed         | 1670        |
|    total_timesteps      | 315392      |
| train/                  |             |
|    approx_kl            | 0.016131118 |
|    clip_fraction        | 0.0485      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.82       |
|    explained_variance   | -0.213      |
|    learning_rate        | 1e-05       |
|    loss                 | 1.1e+03     |
|    n_updates            | 7600        |
|    policy_gradient_loss | -0.00765    |
|    value_loss           | 3.58e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.56        |
|    ep_rew_mean          | -82         |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 78          |
|    time_elapsed         | 1691        |
|    total_timesteps      | 319488      |
| train/                  |             |
|    approx_kl            | 0.011155245 |
|    clip_fraction        | 0.0914      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.87       |
|    explained_variance   | -0.0614     |
|    learning_rate        | 1e-05       |
|    loss                 | 957         |
|    n_updates            | 7700        |
|    policy_gradient_loss | -0.00428    |
|    value_loss           | 2.08e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.17        |
|    ep_rew_mean          | -88.5       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 79          |
|    time_elapsed         | 1713        |
|    total_timesteps      | 323584      |
| train/                  |             |
|    approx_kl            | 0.027805647 |
|    clip_fraction        | 0.0853      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.85       |
|    explained_variance   | 0.148       |
|    learning_rate        | 1e-05       |
|    loss                 | 1.26e+03    |
|    n_updates            | 7800        |
|    policy_gradient_loss | -0.0176     |
|    value_loss           | 4.25e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.33        |
|    ep_rew_mean          | -90.1       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 80          |
|    time_elapsed         | 1735        |
|    total_timesteps      | 327680      |
| train/                  |             |
|    approx_kl            | 0.010527562 |
|    clip_fraction        | 0.077       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.86       |
|    explained_variance   | -0.029      |
|    learning_rate        | 1e-05       |
|    loss                 | 820         |
|    n_updates            | 7900        |
|    policy_gradient_loss | -0.00541    |
|    value_loss           | 2.04e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.77        |
|    ep_rew_mean          | -86.9       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 81          |
|    time_elapsed         | 1756        |
|    total_timesteps      | 331776      |
| train/                  |             |
|    approx_kl            | 0.049243268 |
|    clip_fraction        | 0.0461      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.82       |
|    explained_variance   | -0.0419     |
|    learning_rate        | 1e-05       |
|    loss                 | 942         |
|    n_updates            | 8000        |
|    policy_gradient_loss | -0.0179     |
|    value_loss           | 3.35e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.05        |
|    ep_rew_mean          | -83.5       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 82          |
|    time_elapsed         | 1778        |
|    total_timesteps      | 335872      |
| train/                  |             |
|    approx_kl            | 0.009700927 |
|    clip_fraction        | 0.0653      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.84       |
|    explained_variance   | 0.0103      |
|    learning_rate        | 1e-05       |
|    loss                 | 1.06e+03    |
|    n_updates            | 8100        |
|    policy_gradient_loss | -0.00138    |
|    value_loss           | 2.09e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.8         |
|    ep_rew_mean          | -84.7       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 83          |
|    time_elapsed         | 1799        |
|    total_timesteps      | 339968      |
| train/                  |             |
|    approx_kl            | 0.013976499 |
|    clip_fraction        | 0.189       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.85       |
|    explained_variance   | 0.0395      |
|    learning_rate        | 1e-05       |
|    loss                 | 1.02e+03    |
|    n_updates            | 8200        |
|    policy_gradient_loss | -0.00975    |
|    value_loss           | 2.28e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.13        |
|    ep_rew_mean          | -81.8       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 84          |
|    time_elapsed         | 1821        |
|    total_timesteps      | 344064      |
| train/                  |             |
|    approx_kl            | 0.021576297 |
|    clip_fraction        | 0.105       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.83       |
|    explained_variance   | -0.00805    |
|    learning_rate        | 1e-05       |
|    loss                 | 989         |
|    n_updates            | 8300        |
|    policy_gradient_loss | -0.0132     |
|    value_loss           | 2.95e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.49        |
|    ep_rew_mean          | -88.5       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 85          |
|    time_elapsed         | 1843        |
|    total_timesteps      | 348160      |
| train/                  |             |
|    approx_kl            | 0.010799638 |
|    clip_fraction        | 0.127       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.86       |
|    explained_variance   | 0.0788      |
|    learning_rate        | 1e-05       |
|    loss                 | 1.05e+03    |
|    n_updates            | 8400        |
|    policy_gradient_loss | -0.00453    |
|    value_loss           | 2.43e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.14        |
|    ep_rew_mean          | -97.6       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 86          |
|    time_elapsed         | 1864        |
|    total_timesteps      | 352256      |
| train/                  |             |
|    approx_kl            | 0.013153445 |
|    clip_fraction        | 0.161       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.85       |
|    explained_variance   | 0.0697      |
|    learning_rate        | 1e-05       |
|    loss                 | 1.02e+03    |
|    n_updates            | 8500        |
|    policy_gradient_loss | -0.00878    |
|    value_loss           | 2.41e+03    |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 8.85      |
|    ep_rew_mean          | -70.4     |
| time/                   |           |
|    fps                  | 188       |
|    iterations           | 87        |
|    time_elapsed         | 1886      |
|    total_timesteps      | 356352    |
| train/                  |           |
|    approx_kl            | 0.0259899 |
|    clip_fraction        | 0.093     |
|    clip_range           | 0.2       |
|    entropy_loss         | -1.86     |
|    explained_variance   | 0.0154    |
|    learning_rate        | 1e-05     |
|    loss                 | 1.61e+03  |
|    n_updates            | 8600      |
|    policy_gradient_loss | -0.0152   |
|    value_loss           | 4.52e+03  |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 10.6        |
|    ep_rew_mean          | -82.9       |
| time/                   |             |
|    fps                  | 188         |
|    iterations           | 88          |
|    time_elapsed         | 1908        |
|    total_timesteps      | 360448      |
| train/                  |             |
|    approx_kl            | 0.008166208 |
|    clip_fraction        | 0.0566      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.85       |
|    explained_variance   | 0.0749      |
|    learning_rate        | 1e-05       |
|    loss                 | 1.31e+03    |
|    n_updates            | 8700        |
|    policy_gradient_loss | 0.000525    |
|    value_loss           | 2.48e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 8.31       |
|    ep_rew_mean          | -84.1      |
| time/                   |            |
|    fps                  | 188        |
|    iterations           | 89         |
|    time_elapsed         | 1930       |
|    total_timesteps      | 364544     |
| train/                  |            |
|    approx_kl            | 0.01927906 |
|    clip_fraction        | 0.0868     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.84      |
|    explained_variance   | -0.0156    |
|    learning_rate        | 1e-05      |
|    loss                 | 1.59e+03   |
|    n_updates            | 8800       |
|    policy_gradient_loss | -0.0114    |
|    value_loss           | 3.81e+03   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 8.86       |
|    ep_rew_mean          | -84.3      |
| time/                   |            |
|    fps                  | 188        |
|    iterations           | 90         |
|    time_elapsed         | 1951       |
|    total_timesteps      | 368640     |
| train/                  |            |
|    approx_kl            | 0.02357117 |
|    clip_fraction        | 0.0744     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.85      |
|    explained_variance   | 0.0282     |
|    learning_rate        | 1e-05      |
|    loss                 | 968        |
|    n_updates            | 8900       |
|    policy_gradient_loss | -0.0131    |
|    value_loss           | 3.02e+03   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 8.5        |
|    ep_rew_mean          | -95.4      |
| time/                   |            |
|    fps                  | 188        |
|    iterations           | 91         |
|    time_elapsed         | 1973       |
|    total_timesteps      | 372736     |
| train/                  |            |
|    approx_kl            | 0.01358355 |
|    clip_fraction        | 0.0464     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.85      |
|    explained_variance   | -0.129     |
|    learning_rate        | 1e-05      |
|    loss                 | 1.21e+03   |
|    n_updates            | 9000       |
|    policy_gradient_loss | -0.0118    |
|    value_loss           | 3.2e+03    |
----------------------------------------
----------------------------------------
| eval/                   |            |
|    mean_ep_length       | 21.2       |
|    mean_reward          | -195       |
| time/                   |            |
